City_id,City
1,Vancouver
2,Portland
3,"San Francisco"
4,Seattle
5,"Los Angeles"
6,"San Diego"
7,"Las Vegas"
8,Phoenix
9,Albuquerque
10,Denver
11,"San Antonio"
12,Dallas
13,Houston
14,"Kansas City"
15,Minneapolis
16,"Saint Louis"
17,Chicago
18,Nashville
19,Indianapolis
20,Atlanta
21,Detroit
22,Jacksonville
23,Charlotte
24,Miami
25,Pittsburgh
26,Toronto
27,Philadelphia
28,"New York"
29,Montreal
30,Boston
31,Beersheba
32,"Tel Aviv District"
33,Eilat
34,Haifa
35,Nahariyya
36,Jerusalem
